priority,keyword,search_volume,competition,competition_index,cpc,intent,cluster,page_type,url_action,score,notes
1285,chinese year dog,2400,LOW,0,0.17,year,Years,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,58.5,Already has a matching page; use for page expansion or supporting paragraph.
1286,1882 chinese zodiac,260,LOW,0,,general,General,guide article,/guides/1882-chinese-zodiac/,58.4,New article candidate.
1287,1893 chinese zodiac,260,LOW,0,,general,General,guide article,/guides/1893-chinese-zodiac/,58.4,New article candidate.
1288,1895 chinese zodiac,260,LOW,0,,general,General,guide article,/guides/1895-chinese-zodiac/,58.4,New article candidate.
1289,1964 zodiac animal,260,LOW,0,,year,General,year guide,/guides/1964-zodiac-animal/,58.4,New article candidate.
1290,1967 zodiac animal,260,LOW,0,,year,General,year guide,/guides/1967-zodiac-animal/,58.4,New article candidate.
1291,1970 chinese animal,260,LOW,0,,year,General,year guide,/guides/1970-chinese-animal/,58.4,New article candidate.
1292,1970 zodiac animal,260,LOW,0,,year,General,year guide,/guides/1970-zodiac-animal/,58.4,New article candidate.
1293,1980 zodiac animal,260,LOW,0,,year,General,year guide,/guides/1980-zodiac-animal/,58.4,New article candidate.
1294,1982 chinese calendar,260,LOW,0,,year,General,year guide,/guides/1982-chinese-calendar/,58.4,New article candidate.
1295,1983 chinese calendar,260,LOW,0,,year,General,year guide,/guides/1983-chinese-calendar/,58.4,New article candidate.
1296,1985 zodiac sign,260,LOW,0,,year,General,year guide,/guides/1985-zodiac-sign/,58.4,New article candidate.
1297,1987 chinese calendar,260,LOW,0,,year,General,year guide,/guides/1987-chinese-calendar/,58.4,New article candidate.
1298,1987 zodiac animal,260,LOW,0,,year,General,year guide,/guides/1987-zodiac-animal/,58.4,New article candidate.
1299,1988 zodiac animal,260,LOW,0,,year,General,year guide,/guides/1988-zodiac-animal/,58.4,New article candidate.
1300,1990 zodiac sign,260,LOW,0,,year,General,year guide,/guides/1990-zodiac-sign/,58.4,New article candidate.
1301,1991 zodiac sign,260,LOW,0,,year,General,year guide,/guides/1991-zodiac-sign/,58.4,New article candidate.
1302,1992 zodiac sign,260,LOW,0,,year,General,year guide,/guides/1992-zodiac-sign/,58.4,New article candidate.
1303,2004 zodiac sign,260,LOW,0,,year,General,year guide,/guides/2004-zodiac-sign/,58.4,New article candidate.
1304,2010 tiger year,260,LOW,0,,year,Years,year guide,/guides/2010-tiger-year/,58.4,New article candidate.
1305,2016 chinese year,260,LOW,0,,year,Years,year guide,/guides/2016-chinese-year/,58.4,New article candidate.
1306,2020 chinese year,260,LOW,0,,year,Years,year guide,/guides/2020-chinese-year/,58.4,New article candidate.
1307,2034 chinese zodiac,260,LOW,0,,year,General,year guide,/guides/2034-chinese-zodiac/,58.4,New article candidate.
1308,99 chinese zodiac,260,LOW,0,,general,General,guide article,/guides/99-chinese-zodiac/,58.4,New article candidate.
1309,chinese animal 1973,260,LOW,0,,year,General,year guide,/guides/chinese-animal-1973/,58.4,New article candidate.
1310,chinese animal 1976,260,LOW,0,,year,General,year guide,/guides/chinese-animal-1976/,58.4,New article candidate.
1311,chinese calendar 1968,260,LOW,0,,year,General,year guide,/guides/chinese-calendar-1968/,58.4,New article candidate.
1312,chinese calendar 1979,260,LOW,0,,year,General,year guide,/guides/chinese-calendar-1979/,58.4,New article candidate.
1313,chinese calendar 1980,260,LOW,0,,year,General,year guide,/guides/chinese-calendar-1980/,58.4,New article candidate.
1314,chinese calendar 1985,260,LOW,0,,year,General,year guide,/guides/chinese-calendar-1985/,58.4,New article candidate.
1315,chinese calendar 1988,260,LOW,0,,year,General,year guide,/guides/chinese-calendar-1988/,58.4,New article candidate.
1316,chinese calendar 2005,260,LOW,0,,year,General,year guide,/guides/chinese-calendar-2005/,58.4,New article candidate.
1317,chinese calendar 2007,260,LOW,0,,year,General,year guide,/guides/chinese-calendar-2007/,58.4,New article candidate.
1318,chinese calendar 2015,260,LOW,0,,year,General,year guide,/guides/chinese-calendar-2015/,58.4,New article candidate.
1319,chinese zodiac hour,260,LOW,0,,general,General,guide article,/guides/chinese-zodiac-hour/,58.4,New article candidate.
1320,chinese zodiac pisces,260,LOW,0,,general,General,guide article,/guides/chinese-zodiac-pisces/,58.4,New article candidate.
1321,september zodiac animal,260,LOW,0,,general,General,guide article,/guides/september-zodiac-animal/,58.4,New article candidate.
1322,tiger zodiac 2010,260,LOW,0,,year,General,year guide,/guides/tiger-zodiac-2010/,58.4,New article candidate.
1323,zodiac 1962,260,LOW,0,,year,General,year guide,/guides/zodiac-1962/,58.4,New article candidate.
1324,zodiac sign 1983,260,LOW,0,,year,General,year guide,/guides/zodiac-sign-1983/,58.4,New article candidate.
1325,zodiac sign 2017,260,LOW,0,,year,General,year guide,/guides/zodiac-sign-2017/,58.4,New article candidate.
1326,chinese birth symbols,170,LOW,12,0.09,calculator,Calculator / Birthday,tool-support article,/guides/chinese-birth-symbols/,58.4,New article candidate.
1327,2004 chinese year animal,170,LOW,2,,year,Years,year guide,/guides/2004-chinese-year-animal/,58.2,New article candidate.
1328,metal dragon personality,140,LOW,0,,element,Dragon / 2024,element article,/guides/metal-dragon-personality/,58.2,New article candidate.
1329,metal snake zodiac,140,LOW,0,,element,Snake / 2025,element article,/guides/metal-snake-zodiac/,58.2,New article candidate.
1330,water snake zodiac,140,LOW,0,,element,Snake / 2025,element article,/guides/water-snake-zodiac/,58.2,New article candidate.
1331,wood monkey zodiac,140,LOW,0,,element,Elements,element article,/guides/wood-monkey-zodiac/,58.2,New article candidate.
1332,wood ox personality,140,LOW,0,,element,Elements,element article,/guides/wood-ox-personality/,58.2,New article candidate.
1333,chinese calendar year of the tiger,1600,LOW,0,,year,Years,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,58,Already has a matching page; use for page expansion or supporting paragraph.
1334,chinese symbol for year of the tiger,1600,LOW,0,,year,Years,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,58,Already has a matching page; use for page expansion or supporting paragraph.
1335,chinese zodiac tiger year,1600,LOW,0,,year,Years,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,58,Already has a matching page; use for page expansion or supporting paragraph.
1336,year of rat personality,1600,LOW,0,,year,Meaning / Lucky Symbols,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,58,Already has a matching page; use for page expansion or supporting paragraph.
1337,year of the monkey personality,1600,LOW,0,,year,Meaning / Lucky Symbols,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,58,Already has a matching page; use for page expansion or supporting paragraph.
1338,year of the rat traits,1600,LOW,0,,year,Meaning / Lucky Symbols,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,58,Already has a matching page; use for page expansion or supporting paragraph.
1339,water tiger chinese astrology,880,LOW,0,0.02,element,Elements,supporting article or existing-page expansion,Expand existing /,57.9,Already has a matching page; use for page expansion or supporting paragraph.
1340,complete chinese zodiac calculator,210,LOW,1,2.2,calculator,Calculator / Birthday,supporting article or existing-page expansion,Expand existing /chinese-zodiac-calculator/,57.8,Already has a matching page; use for page expansion or supporting paragraph.
1341,full chinese horoscope calculator,210,LOW,1,2.2,calculator,Calculator / Birthday,supporting article or existing-page expansion,Expand existing /,57.8,Already has a matching page; use for page expansion or supporting paragraph.
1342,full chinese zodiac calculator,210,LOW,1,2.2,calculator,Calculator / Birthday,supporting article or existing-page expansion,Expand existing /chinese-zodiac-calculator/,57.8,Already has a matching page; use for page expansion or supporting paragraph.
1343,chinese animal year calendar,12100,MEDIUM,49,0.06,year,Years,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,57.4,Already has a matching page; use for page expansion or supporting paragraph.
1344,chinese zodiac,246000,MEDIUM,41,0.05,general,General,supporting article or existing-page expansion,Expand existing /,57.3,Already has a matching page; use for page expansion or supporting paragraph.
1345,asian zodiac,246000,MEDIUM,41,0.05,general,General,supporting article or existing-page expansion,Expand existing /,57.3,Already has a matching page; use for page expansion or supporting paragraph.
1346,chinese horoscope sign,246000,MEDIUM,41,0.05,general,General,supporting article or existing-page expansion,Expand existing /,57.3,Already has a matching page; use for page expansion or supporting paragraph.
1347,eastern zodiac,246000,MEDIUM,41,0.05,general,General,supporting article or existing-page expansion,Expand existing /,57.3,Already has a matching page; use for page expansion or supporting paragraph.
1348,oriental zodiac,246000,MEDIUM,41,0.05,general,General,supporting article or existing-page expansion,Expand existing /,57.3,Already has a matching page; use for page expansion or supporting paragraph.
1349,2028 chinese zodiac,2400,LOW,0,,year,General,supporting article or existing-page expansion,Expand existing /chinese-zodiac/2028/,57.2,Already has a matching page; use for page expansion or supporting paragraph.
1350,chinese horoscope 1945,2400,LOW,0,,year,General,supporting article or existing-page expansion,Expand existing /,57.2,Already has a matching page; use for page expansion or supporting paragraph.
1351,chinese horoscope sheep,2400,LOW,0,,animal,General,supporting article or existing-page expansion,Expand existing /,57.2,Already has a matching page; use for page expansion or supporting paragraph.
1352,chinese sheep zodiac,2400,LOW,0,,animal,General,supporting article or existing-page expansion,Expand existing /chinese-zodiac/goat/,57.2,Already has a matching page; use for page expansion or supporting paragraph.
1353,1940 year of the chinese zodiac,140,LOW,0,,year,Years,year guide,/guides/1940-year-of-the-chinese-zodiac/,57.2,New article candidate.
1354,1943 year of the chinese zodiac,140,LOW,0,,year,Years,year guide,/guides/1943-year-of-the-chinese-zodiac/,57.2,New article candidate.
1355,1944 chinese new year animal,140,LOW,0,,year,Years,year guide,/guides/1944-chinese-new-year-animal/,57.2,New article candidate.
1356,1947 chinese new year animal,140,LOW,0,,year,Years,year guide,/guides/1947-chinese-new-year-animal/,57.2,New article candidate.
1357,1951 chinese zodiac personality,140,LOW,0,,year,Meaning / Lucky Symbols,year guide,/guides/1951-chinese-zodiac-personality/,57.2,New article candidate.
1358,1962 the year of the tiger,140,LOW,0,,year,Years,year guide,/guides/1962-the-year-of-the-tiger/,57.2,New article candidate.
1359,1963 year of the rabbit,140,LOW,0,,year,Years,year guide,/guides/1963-year-of-the-rabbit/,57.2,New article candidate.
1360,2010 chinese year of what animal,140,LOW,0,,year,Years,year guide,/guides/2010-chinese-year-of-what-animal/,57.2,New article candidate.
1361,2023 lunar new year animal,140,LOW,0,,year,Years,year guide,/guides/2023-lunar-new-year-animal/,57.2,New article candidate.
1362,chinese animal year 1967,140,LOW,0,,year,Years,year guide,/guides/chinese-animal-year-1967/,57.2,New article candidate.
1363,chinese animal year 1994,140,LOW,0,,year,Years,year guide,/guides/chinese-animal-year-1994/,57.2,New article candidate.
1364,chinese animal year 1999,140,LOW,0,,year,Years,year guide,/guides/chinese-animal-year-1999/,57.2,New article candidate.
1365,chinese animal year 2010,140,LOW,0,,year,Years,year guide,/guides/chinese-animal-year-2010/,57.2,New article candidate.
1366,chinese calendar 1991 animal,140,LOW,0,,year,General,year guide,/guides/chinese-calendar-1991-animal/,57.2,New article candidate.
1367,chinese calendar 2015 animal,140,LOW,0,,year,General,year guide,/guides/chinese-calendar-2015-animal/,57.2,New article candidate.
1368,chinese calendar 2017 animal,140,LOW,0,,year,General,year guide,/guides/chinese-calendar-2017-animal/,57.2,New article candidate.
1369,chinese year 1982 animal,140,LOW,0,,year,Years,year guide,/guides/chinese-year-1982-animal/,57.2,New article candidate.
1370,chinese year animal 1995,140,LOW,0,,year,Years,year guide,/guides/chinese-year-animal-1995/,57.2,New article candidate.
1371,chinese zodiac 1994 animal,140,LOW,0,,year,General,year guide,/guides/chinese-zodiac-1994-animal/,57.2,New article candidate.
1372,chinese zodiac 1999 animal,140,LOW,0,,year,General,year guide,/guides/chinese-zodiac-1999-animal/,57.2,New article candidate.
1373,chinese zodiac 2009 animal,140,LOW,0,,year,General,year guide,/guides/chinese-zodiac-2009-animal/,57.2,New article candidate.
1374,chinese zodiac january 1986,140,LOW,0,,year,General,year guide,/guides/chinese-zodiac-january-1986/,57.2,New article candidate.
1375,chinese zodiac sheep traits,140,LOW,0,,animal,Meaning / Lucky Symbols,animal guide,/guides/chinese-zodiac-sheep-traits/,57.2,New article candidate.
1376,january 1995 chinese zodiac,140,LOW,0,,year,General,year guide,/guides/january-1995-chinese-zodiac/,57.2,New article candidate.
1377,lunar new year 1982,140,LOW,0,,year,Years,year guide,/guides/lunar-new-year-1982/,57.2,New article candidate.
1378,year 2022 chinese zodiac,140,LOW,0,,year,Years,year guide,/guides/year-2022-chinese-zodiac/,57.2,New article candidate.
1379,zodiac animal for libra,140,LOW,0,,general,General,guide article,/guides/zodiac-animal-for-libra/,57.2,New article candidate.
1380,chinese horoscope date,2900,LOW,5,0.03,general,General,supporting article or existing-page expansion,Expand existing /,57.1,Already has a matching page; use for page expansion or supporting paragraph.
1381,year of snake personality,1300,LOW,0,0.11,year,Snake / 2025,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,56.7,Already has a matching page; use for page expansion or supporting paragraph.
1382,earth dragon chinese zodiac personality,70,LOW,0,,element,Dragon / 2024,element article,/guides/earth-dragon-chinese-zodiac-personality/,56.7,New article candidate.
1383,earth snake chinese zodiac personality,70,LOW,0,,element,Snake / 2025,element article,/guides/earth-snake-chinese-zodiac-personality/,56.7,New article candidate.
1384,fire rat chinese zodiac personality,70,LOW,0,,element,Elements,element article,/guides/fire-rat-chinese-zodiac-personality/,56.7,New article candidate.
1385,fire rooster chinese zodiac personality,70,LOW,0,,element,Elements,element article,/guides/fire-rooster-chinese-zodiac-personality/,56.7,New article candidate.
1386,tiger year 2022,210,LOW,4,0.27,year,Years,year guide,/guides/tiger-year-2022/,56.6,New article candidate.
1387,chinese birth date,90,LOW,1,,calculator,Calculator / Birthday,tool-support article,/guides/chinese-birth-date/,56.6,New article candidate.
1388,my chinese horoscope,1000,LOW,2,1.13,general,General,supporting article or existing-page expansion,Expand existing /,56.2,Already has a matching page; use for page expansion or supporting paragraph.
1389,my chinese astrology,1000,LOW,2,1.13,general,General,supporting article or existing-page expansion,Expand existing /,56.2,Already has a matching page; use for page expansion or supporting paragraph.
1390,1879 chinese zodiac,210,LOW,0,,general,General,guide article,/guides/1879-chinese-zodiac/,56.2,New article candidate.
1391,1963 chinese animal,210,LOW,0,,year,General,year guide,/guides/1963-chinese-animal/,56.2,New article candidate.
1392,1966 zodiac animal,210,LOW,0,,year,General,year guide,/guides/1966-zodiac-animal/,56.2,New article candidate.
1393,1968 zodiac animal,210,LOW,0,,year,General,year guide,/guides/1968-zodiac-animal/,56.2,New article candidate.
1394,1969 chinese animal,210,LOW,0,,year,General,year guide,/guides/1969-chinese-animal/,56.2,New article candidate.
1395,1969 zodiac animal,210,LOW,0,,year,General,year guide,/guides/1969-zodiac-animal/,56.2,New article candidate.
1396,1971 zodiac animal,210,LOW,0,,year,General,year guide,/guides/1971-zodiac-animal/,56.2,New article candidate.
1397,1972 zodiac animal,210,LOW,0,,year,General,year guide,/guides/1972-zodiac-animal/,56.2,New article candidate.
1398,1974 chinese calendar,210,LOW,0,,year,General,year guide,/guides/1974-chinese-calendar/,56.2,New article candidate.
1399,1974 zodiac animal,210,LOW,0,,year,General,year guide,/guides/1974-zodiac-animal/,56.2,New article candidate.
1400,1975 zodiac animal,210,LOW,0,,year,General,year guide,/guides/1975-zodiac-animal/,56.2,New article candidate.
1401,1976 chinese calendar,210,LOW,0,,year,General,year guide,/guides/1976-chinese-calendar/,56.2,New article candidate.
1402,1977 chinese calendar,210,LOW,0,,year,General,year guide,/guides/1977-chinese-calendar/,56.2,New article candidate.
1403,1978 zodiac animal,210,LOW,0,,year,General,year guide,/guides/1978-zodiac-animal/,56.2,New article candidate.
1404,1981 chinese calendar,210,LOW,0,,year,General,year guide,/guides/1981-chinese-calendar/,56.2,New article candidate.
1405,1981 zodiac animal,210,LOW,0,,year,General,year guide,/guides/1981-zodiac-animal/,56.2,New article candidate.
1406,1982 zodiac animal,210,LOW,0,,year,General,year guide,/guides/1982-zodiac-animal/,56.2,New article candidate.
1407,1984 zodiac sign,210,LOW,0,,year,General,year guide,/guides/1984-zodiac-sign/,56.2,New article candidate.
1408,199 chinese zodiac,210,LOW,0,,general,General,guide article,/guides/199-chinese-zodiac/,56.2,New article candidate.
1409,1998 lunar animal,210,LOW,0,,year,General,year guide,/guides/1998-lunar-animal/,56.2,New article candidate.
1410,2002 lunar animal,210,LOW,0,,year,General,year guide,/guides/2002-lunar-animal/,56.2,New article candidate.
1411,2015 chinese year,210,LOW,0,,year,Years,year guide,/guides/2015-chinese-year/,56.2,New article candidate.
1412,2036 chinese zodiac,210,LOW,0,,year,General,year guide,/guides/2036-chinese-zodiac/,56.2,New article candidate.
1413,83 chinese zodiac,210,LOW,0,,general,General,guide article,/guides/83-chinese-zodiac/,56.2,New article candidate.
1414,chinese 1961 animal,210,LOW,0,,year,General,year guide,/guides/chinese-1961-animal/,56.2,New article candidate.
1415,chinese calendar 1970,210,LOW,0,,year,General,year guide,/guides/chinese-calendar-1970/,56.2,New article candidate.
1416,chinese calendar 1978,210,LOW,0,,year,General,year guide,/guides/chinese-calendar-1978/,56.2,New article candidate.
1417,chinese calendar 2008,210,LOW,0,,year,General,year guide,/guides/chinese-calendar-2008/,56.2,New article candidate.
1418,chinese calendar 2009,210,LOW,0,,year,General,year guide,/guides/chinese-calendar-2009/,56.2,New article candidate.
1419,chinese calendar 2011,210,LOW,0,,year,General,year guide,/guides/chinese-calendar-2011/,56.2,New article candidate.
1420,chinese zodiac 199,210,LOW,0,,general,General,guide article,/guides/chinese-zodiac-199/,56.2,New article candidate.
1421,horse zodiac year,1300,LOW,0,0.01,year,Horse / 2026,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,55.9,Already has a matching page; use for page expansion or supporting paragraph.
1422,water dog zodiac,110,LOW,0,,element,Elements,element article,/guides/water-dog-zodiac/,55.9,New article candidate.
1423,wood rat zodiac,110,LOW,0,,element,Elements,element article,/guides/wood-rat-zodiac/,55.9,New article candidate.
1424,wood tiger personality,110,LOW,0,,element,Elements,element article,/guides/wood-tiger-personality/,55.9,New article candidate.
1425,2024 year of the chinese zodiac,1300,LOW,0,,year,Dragon / 2024,supporting article or existing-page expansion,Expand existing /chinese-zodiac/2024/,55.8,Already has a matching page; use for page expansion or supporting paragraph.
1426,chinese zodiac goat years,1300,LOW,0,,year,General,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,55.8,Already has a matching page; use for page expansion or supporting paragraph.
1427,lunar new year snake,1300,LOW,0,,year,Snake / 2025,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,55.8,Already has a matching page; use for page expansion or supporting paragraph.
1428,year of dragon meaning,1300,LOW,0,,year,Dragon / 2024,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,55.8,Already has a matching page; use for page expansion or supporting paragraph.
1429,year of the ox personality,1300,LOW,0,,year,Meaning / Lucky Symbols,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,55.8,Already has a matching page; use for page expansion or supporting paragraph.
1430,year of the ox traits,1300,LOW,0,,year,Meaning / Lucky Symbols,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,55.8,Already has a matching page; use for page expansion or supporting paragraph.
1431,year of the tiger traits,1300,LOW,0,,year,Meaning / Lucky Symbols,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,55.8,Already has a matching page; use for page expansion or supporting paragraph.
1432,horse traits chinese zodiac,70,LOW,0,,animal,Horse / 2026,animal guide,/guides/horse-traits-chinese-zodiac/,55.7,New article candidate.
1433,chinese zodiac years elements,1300,LOW,2,,year,Elements,supporting article or existing-page expansion,Expand existing /chinese-zodiac-elements/,54.9,Already has a matching page; use for page expansion or supporting paragraph.
1434,pisces zodiac animal,210,LOW,3,,general,General,guide article,/guides/pisces-zodiac-animal/,54.9,New article candidate.
1435,year of the rabbit 2023 predictions,110,LOW,0,,year,Years,year guide,/guides/year-of-the-rabbit-2023-predictions/,54.9,New article candidate.
1436,year 2023 chinese zodiac,110,LOW,0,,year,Years,year guide,/guides/year-2023-chinese-zodiac/,54.9,New article candidate.
1437,1937 year of the chinese zodiac,110,LOW,0,,year,Years,year guide,/guides/1937-year-of-the-chinese-zodiac/,54.9,New article candidate.
1438,1946 chinese zodiac personality,110,LOW,0,,year,Meaning / Lucky Symbols,year guide,/guides/1946-chinese-zodiac-personality/,54.9,New article candidate.
1439,1973 year of the ox,110,LOW,0,,year,Years,year guide,/guides/1973-year-of-the-ox/,54.9,New article candidate.
1440,1986 chinese zodiac personality,110,LOW,0,,year,Meaning / Lucky Symbols,year guide,/guides/1986-chinese-zodiac-personality/,54.9,New article candidate.
1441,born in 1990 chinese zodiac,110,LOW,0,,year,General,year guide,/guides/born-in-1990-chinese-zodiac/,54.9,New article candidate.
1442,chinese animal year 1995,110,LOW,0,,year,Years,year guide,/guides/chinese-animal-year-1995/,54.9,New article candidate.
1443,chinese animal year 1996,110,LOW,0,,year,Years,year guide,/guides/chinese-animal-year-1996/,54.9,New article candidate.
1444,chinese animal year 2009,110,LOW,0,,year,Years,year guide,/guides/chinese-animal-year-2009/,54.9,New article candidate.
1445,chinese animal year 2018,110,LOW,0,,year,Years,year guide,/guides/chinese-animal-year-2018/,54.9,New article candidate.
1446,chinese animal year 2020,110,LOW,0,,year,Years,year guide,/guides/chinese-animal-year-2020/,54.9,New article candidate.
1447,chinese animal year 2021,110,LOW,0,,year,Years,year guide,/guides/chinese-animal-year-2021/,54.9,New article candidate.
1448,chinese rabbit zodiac traits,110,LOW,0,,animal,Meaning / Lucky Symbols,animal guide,/guides/chinese-rabbit-zodiac-traits/,54.9,New article candidate.
1449,chinese year animal 1982,110,LOW,0,,year,Years,year guide,/guides/chinese-year-animal-1982/,54.9,New article candidate.
1450,chinese year animal 2004,110,LOW,0,,year,Years,year guide,/guides/chinese-year-animal-2004/,54.9,New article candidate.
1451,chinese year animal 2019,110,LOW,0,,year,Years,year guide,/guides/chinese-year-animal-2019/,54.9,New article candidate.
1452,chinese year animal 2020,110,LOW,0,,year,Years,year guide,/guides/chinese-year-animal-2020/,54.9,New article candidate.
1453,chinese year animal 2021,110,LOW,0,,year,Years,year guide,/guides/chinese-year-animal-2021/,54.9,New article candidate.
1454,chinese zodiac 1959 animal,110,LOW,0,,year,General,year guide,/guides/chinese-zodiac-1959-animal/,54.9,New article candidate.
1455,chinese zodiac 1971 animal,110,LOW,0,,year,General,year guide,/guides/chinese-zodiac-1971-animal/,54.9,New article candidate.
1456,chinese zodiac 1972 animal,110,LOW,0,,year,General,year guide,/guides/chinese-zodiac-1972-animal/,54.9,New article candidate.
1457,chinese zodiac 1975 animal,110,LOW,0,,year,General,year guide,/guides/chinese-zodiac-1975-animal/,54.9,New article candidate.
1458,chinese zodiac 1977 animal,110,LOW,0,,year,General,year guide,/guides/chinese-zodiac-1977-animal/,54.9,New article candidate.
1459,chinese zodiac 1983 animal,110,LOW,0,,year,General,year guide,/guides/chinese-zodiac-1983-animal/,54.9,New article candidate.
1460,chinese zodiac 2000 animal,110,LOW,0,,year,General,year guide,/guides/chinese-zodiac-2000-animal/,54.9,New article candidate.
1461,chinese zodiac 2006 animal,110,LOW,0,,year,General,year guide,/guides/chinese-zodiac-2006-animal/,54.9,New article candidate.
1462,chinese zodiac inner animal,110,LOW,0,,general,General,guide article,/guides/chinese-zodiac-inner-animal/,54.9,New article candidate.
1463,december 1990 chinese zodiac,110,LOW,0,,year,General,year guide,/guides/december-1990-chinese-zodiac/,54.9,New article candidate.
1464,december 1999 chinese zodiac,110,LOW,0,,year,General,year guide,/guides/december-1999-chinese-zodiac/,54.9,New article candidate.
1465,first animal in chinese zodiac,110,LOW,0,,general,General,guide article,/guides/first-animal-in-chinese-zodiac/,54.9,New article candidate.
1466,january 1979 chinese zodiac,110,LOW,0,,year,General,year guide,/guides/january-1979-chinese-zodiac/,54.9,New article candidate.
1467,january 1988 chinese zodiac,110,LOW,0,,year,General,year guide,/guides/january-1988-chinese-zodiac/,54.9,New article candidate.
1468,july 1991 chinese zodiac,110,LOW,0,,year,General,year guide,/guides/july-1991-chinese-zodiac/,54.9,New article candidate.
1469,lunar new year 1978,110,LOW,0,,year,Years,year guide,/guides/lunar-new-year-1978/,54.9,New article candidate.
1470,lunar new year 1980,110,LOW,0,,year,Years,year guide,/guides/lunar-new-year-1980/,54.9,New article candidate.
1471,lunar new year 1983,110,LOW,0,,year,Years,year guide,/guides/lunar-new-year-1983/,54.9,New article candidate.
1472,lunar new year 1984,110,LOW,0,,year,Years,year guide,/guides/lunar-new-year-1984/,54.9,New article candidate.
1473,lunar new year 2009 animal,110,LOW,0,,year,Years,year guide,/guides/lunar-new-year-2009-animal/,54.9,New article candidate.
1474,lunar new year 2020 animal,110,LOW,0,,year,Years,year guide,/guides/lunar-new-year-2020-animal/,54.9,New article candidate.
1475,may 1990 chinese zodiac,110,LOW,0,,year,General,year guide,/guides/may-1990-chinese-zodiac/,54.9,New article candidate.
1476,october 1990 chinese zodiac,110,LOW,0,,year,General,year guide,/guides/october-1990-chinese-zodiac/,54.9,New article candidate.
1477,year 2021 chinese zodiac,110,LOW,0,,year,Years,year guide,/guides/year-2021-chinese-zodiac/,54.9,New article candidate.
1478,chinese calendar ox,1900,LOW,0,,animal,General,supporting article or existing-page expansion,Expand existing /chinese-zodiac/ox/,54.7,Already has a matching page; use for page expansion or supporting paragraph.
1479,chinese zodiac 2028,1900,LOW,0,,year,General,supporting article or existing-page expansion,Expand existing /chinese-zodiac/2028/,54.7,Already has a matching page; use for page expansion or supporting paragraph.
1480,rabbit zodiac,1900,LOW,0,,animal,General,supporting article or existing-page expansion,Expand existing /chinese-zodiac/rabbit/,54.7,Already has a matching page; use for page expansion or supporting paragraph.
1481,asian astrology,140,LOW,1,0.34,general,General,guide article,/guides/asian-astrology/,54.5,New article candidate.
1482,aquarius in chinese zodiac,110,LOW,1,,general,General,guide article,/guides/aquarius-in-chinese-zodiac/,54.5,New article candidate.
1483,chinese birth year,1000,LOW,8,0.08,calculator,Calculator / Birthday,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,54.1,Already has a matching page; use for page expansion or supporting paragraph.
1484,1947 chinese year,170,LOW,0,,year,Years,year guide,/guides/1947-chinese-year/,54.1,New article candidate.
1485,1958 zodiac animal,170,LOW,0,,year,General,year guide,/guides/1958-zodiac-animal/,54.1,New article candidate.
1486,1959 zodiac animal,170,LOW,0,,year,General,year guide,/guides/1959-zodiac-animal/,54.1,New article candidate.
1487,1960 zodiac animal,170,LOW,0,,year,General,year guide,/guides/1960-zodiac-animal/,54.1,New article candidate.
1488,1963 zodiac animal,170,LOW,0,,year,General,year guide,/guides/1963-zodiac-animal/,54.1,New article candidate.
1489,1965 zodiac animal,170,LOW,0,,year,General,year guide,/guides/1965-zodiac-animal/,54.1,New article candidate.
1490,1973 zodiac animal,170,LOW,0,,year,General,year guide,/guides/1973-zodiac-animal/,54.1,New article candidate.
1491,1976 zodiac animal,170,LOW,0,,year,General,year guide,/guides/1976-zodiac-animal/,54.1,New article candidate.
1492,1977 zodiac animal,170,LOW,0,,year,General,year guide,/guides/1977-zodiac-animal/,54.1,New article candidate.
1493,1986 lunar animal,170,LOW,0,,year,General,year guide,/guides/1986-lunar-animal/,54.1,New article candidate.
1494,1987 lunar animal,170,LOW,0,,year,General,year guide,/guides/1987-lunar-animal/,54.1,New article candidate.
1495,1988 zodiac sign,170,LOW,0,,year,General,year guide,/guides/1988-zodiac-sign/,54.1,New article candidate.
1496,1990 lunar animal,170,LOW,0,,year,General,year guide,/guides/1990-lunar-animal/,54.1,New article candidate.
1497,1991 zodiac year,170,LOW,0,,year,Years,year guide,/guides/1991-zodiac-year/,54.1,New article candidate.
1498,1994 lunar animal,170,LOW,0,,year,General,year guide,/guides/1994-lunar-animal/,54.1,New article candidate.
1499,200 chinese zodiac,170,LOW,0,,general,General,guide article,/guides/200-chinese-zodiac/,54.1,New article candidate.
