priority,keyword,search_volume,competition,competition_index,cpc,intent,cluster,page_type,url_action,score,notes
58,chinese sign for 1974,12100,LOW,0,,year,General,year guide,/guides/chinese-sign-for-1974/,103,New article candidate.
59,chinese sign for 1982,12100,LOW,0,,year,General,year guide,/guides/chinese-sign-for-1982/,103,New article candidate.
60,chinese zodiac in 2010,12100,LOW,0,,year,General,year guide,/guides/chinese-zodiac-in-2010/,103,New article candidate.
61,chinese zodiac of 2010,12100,LOW,0,,year,General,year guide,/guides/chinese-zodiac-of-2010/,103,New article candidate.
62,year of the fire horse,40500,LOW,13,2.46,year,Horse / 2026,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,102.7,Already has a matching page; use for page expansion or supporting paragraph.
63,2020 chinese zodiac,9900,LOW,0,0.85,year,General,year guide,/guides/2020-chinese-zodiac/,102.7,New article candidate.
64,1991 chinese zodiac,18100,LOW,0,0.01,year,General,year guide,/guides/1991-chinese-zodiac/,102.3,New article candidate.
65,1991 zodiac animal,18100,LOW,0,0.01,year,General,year guide,/guides/1991-zodiac-animal/,102.3,New article candidate.
66,1985 chinese zodiac,18100,LOW,0,,year,General,year guide,/guides/1985-chinese-zodiac/,102.2,New article candidate.
67,1985 zodiac,18100,LOW,0,,year,General,year guide,/guides/1985-zodiac/,102.2,New article candidate.
68,1985 zodiac animal,18100,LOW,0,,year,General,year guide,/guides/1985-zodiac-animal/,102.2,New article candidate.
69,1986 chinese animal,18100,LOW,0,,year,General,year guide,/guides/1986-chinese-animal/,102.2,New article candidate.
70,1986 chinese sign,18100,LOW,0,,year,General,year guide,/guides/1986-chinese-sign/,102.2,New article candidate.
71,1986 chinese zodiac,18100,LOW,0,,year,General,year guide,/guides/1986-chinese-zodiac/,102.2,New article candidate.
72,1988 chinese zodiac,18100,LOW,0,,year,General,year guide,/guides/1988-chinese-zodiac/,102.2,New article candidate.
73,1992 chinese sign,18100,LOW,0,,year,General,year guide,/guides/1992-chinese-sign/,102.2,New article candidate.
74,1992 chinese zodiac,18100,LOW,0,,year,General,year guide,/guides/1992-chinese-zodiac/,102.2,New article candidate.
75,1992 zodiac animal,18100,LOW,0,,year,General,year guide,/guides/1992-zodiac-animal/,102.2,New article candidate.
76,1993 chinese zodiac,18100,LOW,0,,year,General,year guide,/guides/1993-chinese-zodiac/,102.2,New article candidate.
77,2001 chinese zodiac,18100,LOW,0,,year,General,year guide,/guides/2001-chinese-zodiac/,102.2,New article candidate.
78,85 chinese zodiac,18100,LOW,0,,general,General,guide article,/guides/85-chinese-zodiac/,102.2,New article candidate.
79,86 chinese zodiac,18100,LOW,0,,general,General,guide article,/guides/86-chinese-zodiac/,102.2,New article candidate.
80,93 chinese zodiac,18100,LOW,0,,general,General,guide article,/guides/93-chinese-zodiac/,102.2,New article candidate.
81,chinese sign 1988,18100,LOW,0,,year,General,year guide,/guides/chinese-sign-1988/,102.2,New article candidate.
82,chinese sign 2001,18100,LOW,0,,year,General,year guide,/guides/chinese-sign-2001/,102.2,New article candidate.
83,chinese year 1985,18100,LOW,0,,year,Years,year guide,/guides/chinese-year-1985/,102.2,New article candidate.
84,zodiac 1988,18100,LOW,0,,year,General,year guide,/guides/zodiac-1988/,102.2,New article candidate.
85,calculate chinese sign,12100,LOW,0,0.5,general,General,guide article,/guides/calculate-chinese-sign/,102,New article candidate.
86,chinese zodiac calc,12100,LOW,0,0.5,general,General,guide article,/guides/chinese-zodiac-calc/,102,New article candidate.
87,chinese zodiac metal horse,2900,LOW,2,0.41,element,Horse / 2026,element article,/guides/chinese-zodiac-metal-horse/,101.5,New article candidate.
88,1973 year of the chinese zodiac,9900,LOW,0,,year,Years,year guide,/guides/1973-year-of-the-chinese-zodiac/,100.9,New article candidate.
89,2011 year of the chinese zodiac,9900,LOW,0,,year,Years,year guide,/guides/2011-year-of-the-chinese-zodiac/,100.9,New article candidate.
90,2014 year of the chinese zodiac,9900,LOW,0,,year,Years,year guide,/guides/2014-year-of-the-chinese-zodiac/,100.9,New article candidate.
91,2015 year of the chinese zodiac,9900,LOW,0,,year,Years,year guide,/guides/2015-year-of-the-chinese-zodiac/,100.9,New article candidate.
92,chinese sign for 1967,9900,LOW,0,,year,General,year guide,/guides/chinese-sign-for-1967/,100.9,New article candidate.
93,chinese sign for 1970,9900,LOW,0,,year,General,year guide,/guides/chinese-sign-for-1970/,100.9,New article candidate.
94,chinese sign for 1971,9900,LOW,0,,year,General,year guide,/guides/chinese-sign-for-1971/,100.9,New article candidate.
95,chinese sign for 1976,9900,LOW,0,,year,General,year guide,/guides/chinese-sign-for-1976/,100.9,New article candidate.
96,1979 chinese zodiac,14800,LOW,0,,year,General,year guide,/guides/1979-chinese-zodiac/,100.1,New article candidate.
97,1983 chinese sign,14800,LOW,0,,year,General,year guide,/guides/1983-chinese-sign/,100.1,New article candidate.
98,1983 chinese zodiac,14800,LOW,0,,year,General,year guide,/guides/1983-chinese-zodiac/,100.1,New article candidate.
99,2000 chinese zodiac,14800,LOW,0,,year,General,year guide,/guides/2000-chinese-zodiac/,100.1,New article candidate.
100,2004 chinese zodiac,14800,LOW,0,,year,General,year guide,/guides/2004-chinese-zodiac/,100.1,New article candidate.
101,2005 chinese zodiac,14800,LOW,0,,year,General,year guide,/guides/2005-chinese-zodiac/,100.1,New article candidate.
102,2006 chinese zodiac,14800,LOW,0,,year,General,year guide,/guides/2006-chinese-zodiac/,100.1,New article candidate.
103,2007 chinese zodiac,14800,LOW,0,,year,General,year guide,/guides/2007-chinese-zodiac/,100.1,New article candidate.
104,79 chinese zodiac,14800,LOW,0,,general,General,guide article,/guides/79-chinese-zodiac/,100.1,New article candidate.
105,chinese sign 1979,14800,LOW,0,,year,General,year guide,/guides/chinese-sign-1979/,100.1,New article candidate.
106,chinese sign 2007,14800,LOW,0,,year,General,year guide,/guides/chinese-sign-2007/,100.1,New article candidate.
107,chinese calendar birth prediction,4400,LOW,27,1.22,calculator,Calculator / Birthday,tool-support article,/guides/chinese-calendar-birth-prediction/,99.1,New article candidate.
108,chinese lunar calendar,4400,LOW,1,1.62,festival,General,guide article,/guides/chinese-lunar-calendar/,99,New article candidate.
109,chinese year dragon,40500,LOW,0,4.41,year,Dragon / 2024,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,98.6,Already has a matching page; use for page expansion or supporting paragraph.
110,dragon year,40500,LOW,0,4.41,year,Dragon / 2024,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,98.6,Already has a matching page; use for page expansion or supporting paragraph.
111,dragon zodiac,40500,LOW,0,4.41,animal,Dragon / 2024,supporting article or existing-page expansion,Expand existing /chinese-zodiac/dragon/,98.6,Already has a matching page; use for page expansion or supporting paragraph.
112,dragon zodiac year,40500,LOW,0,4.41,year,Dragon / 2024,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,98.6,Already has a matching page; use for page expansion or supporting paragraph.
113,chinese zodiac birthday chart,5400,LOW,13,0.09,calculator,Calculator / Birthday,tool-support article,/guides/chinese-zodiac-birthday-chart/,98.5,New article candidate.
114,1955 year of the chinese zodiac,5400,LOW,0,0.47,year,Years,year guide,/guides/1955-year-of-the-chinese-zodiac/,98.4,New article candidate.
115,chinese sign for 1955,5400,LOW,0,0.47,year,General,year guide,/guides/chinese-sign-for-1955/,98.4,New article candidate.
116,chinese zodiac water horse,2400,LOW,0,0.13,element,Horse / 2026,element article,/guides/chinese-zodiac-water-horse/,98.2,New article candidate.
117,birth year chinese zodiac,90500,LOW,25,0.05,calculator,Calculator / Birthday,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,98.1,Already has a matching page; use for page expansion or supporting paragraph.
118,1980 chinese sign,12100,LOW,0,0.01,year,General,year guide,/guides/1980-chinese-sign/,98.1,New article candidate.
119,1980 chinese zodiac,12100,LOW,0,0.01,year,General,year guide,/guides/1980-chinese-zodiac/,98.1,New article candidate.
120,1974 chinese zodiac,12100,LOW,0,,year,General,year guide,/guides/1974-chinese-zodiac/,98,New article candidate.
121,1974 zodiac chinese,12100,LOW,0,,year,General,year guide,/guides/1974-zodiac-chinese/,98,New article candidate.
122,1977 chinese zodiac,12100,LOW,0,,year,General,year guide,/guides/1977-chinese-zodiac/,98,New article candidate.
123,1978 chinese zodiac,12100,LOW,0,,year,General,year guide,/guides/1978-chinese-zodiac/,98,New article candidate.
124,1981 chinese zodiac,12100,LOW,0,,year,General,year guide,/guides/1981-chinese-zodiac/,98,New article candidate.
125,1982 chinese zodiac,12100,LOW,0,,year,General,year guide,/guides/1982-chinese-zodiac/,98,New article candidate.
126,1984 chinese zodiac,12100,LOW,0,,year,General,year guide,/guides/1984-chinese-zodiac/,98,New article candidate.
127,2008 chinese zodiac,12100,LOW,0,,year,General,year guide,/guides/2008-chinese-zodiac/,98,New article candidate.
128,2009 chinese sign,12100,LOW,0,,year,General,year guide,/guides/2009-chinese-sign/,98,New article candidate.
129,2009 chinese zodiac,12100,LOW,0,,year,General,year guide,/guides/2009-chinese-zodiac/,98,New article candidate.
130,2010 chinese zodiac,12100,LOW,0,,year,General,year guide,/guides/2010-chinese-zodiac/,98,New article candidate.
131,77 chinese zodiac,12100,LOW,0,,general,General,guide article,/guides/77-chinese-zodiac/,98,New article candidate.
132,chinese sign 1977,12100,LOW,0,,year,General,year guide,/guides/chinese-sign-1977/,98,New article candidate.
133,chinese sign 2008,12100,LOW,0,,year,General,year guide,/guides/chinese-sign-2008/,98,New article candidate.
134,chinese year 1977,12100,LOW,0,,year,Years,year guide,/guides/chinese-year-1977/,98,New article candidate.
135,zodiac chinese 2009,12100,LOW,0,,year,General,year guide,/guides/zodiac-chinese-2009/,98,New article candidate.
136,zodiac chinese 2010,12100,LOW,0,,year,General,year guide,/guides/zodiac-chinese-2010/,98,New article candidate.
137,2016 chinese zodiac,9900,LOW,0,0.26,year,General,year guide,/guides/2016-chinese-zodiac/,98,New article candidate.
138,year of the horse meaning,14800,LOW,1,23.58,year,Horse / 2026,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,97.6,Already has a matching page; use for page expansion or supporting paragraph.
139,year of the rat,27100,LOW,0,1.26,year,Years,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,97.5,Already has a matching page; use for page expansion or supporting paragraph.
140,year of the rat years,27100,LOW,0,1.26,year,Years,supporting article or existing-page expansion,Expand existing /chinese-zodiac-years/,97.5,Already has a matching page; use for page expansion or supporting paragraph.
141,chinese sign for 1965,6600,LOW,0,0.05,year,General,year guide,/guides/chinese-sign-for-1965/,97.1,New article candidate.
142,1958 year of the chinese zodiac,6600,LOW,0,,year,Years,year guide,/guides/1958-year-of-the-chinese-zodiac/,96.7,New article candidate.
143,1960 in chinese zodiac,6600,LOW,0,,year,General,year guide,/guides/1960-in-chinese-zodiac/,96.7,New article candidate.
144,1960 year of the chinese zodiac,6600,LOW,0,,year,Years,year guide,/guides/1960-year-of-the-chinese-zodiac/,96.7,New article candidate.
145,chinese sign for 1966,6600,LOW,0,,year,General,year guide,/guides/chinese-sign-for-1966/,96.7,New article candidate.
146,chinese zodiac for 1958,6600,LOW,0,,year,General,year guide,/guides/chinese-zodiac-for-1958/,96.7,New article candidate.
147,1975 chinese sign,9900,LOW,0,0.02,year,General,year guide,/guides/1975-chinese-sign/,96.1,New article candidate.
148,1975 chinese zodiac,9900,LOW,0,0.02,year,General,year guide,/guides/1975-chinese-zodiac/,96.1,New article candidate.
149,1967 chinese zodiac,9900,LOW,0,,year,General,year guide,/guides/1967-chinese-zodiac/,95.9,New article candidate.
150,1969 chinese zodiac,9900,LOW,0,,year,General,year guide,/guides/1969-chinese-zodiac/,95.9,New article candidate.
151,1970 chinese zodiac,9900,LOW,0,,year,General,year guide,/guides/1970-chinese-zodiac/,95.9,New article candidate.
152,1971 chinese zodiac,9900,LOW,0,,year,General,year guide,/guides/1971-chinese-zodiac/,95.9,New article candidate.
153,1973 chinese zodiac,9900,LOW,0,,year,General,year guide,/guides/1973-chinese-zodiac/,95.9,New article candidate.
154,1976 chinese zodiac,9900,LOW,0,,year,General,year guide,/guides/1976-chinese-zodiac/,95.9,New article candidate.
155,2011 chinese zodiac,9900,LOW,0,,year,General,year guide,/guides/2011-chinese-zodiac/,95.9,New article candidate.
156,2014 chinese zodiac,9900,LOW,0,,year,General,year guide,/guides/2014-chinese-zodiac/,95.9,New article candidate.
157,2015 chinese zodiac,9900,LOW,0,,year,General,year guide,/guides/2015-chinese-zodiac/,95.9,New article candidate.
158,chinese calendar 1971,9900,LOW,0,,year,General,year guide,/guides/chinese-calendar-1971/,95.9,New article candidate.
159,chinese sign 2011,9900,LOW,0,,year,General,year guide,/guides/chinese-sign-2011/,95.9,New article candidate.
160,chinese sign 2014,9900,LOW,0,,year,General,year guide,/guides/chinese-sign-2014/,95.9,New article candidate.
161,1956 year of the chinese zodiac,5400,LOW,0,0.06,year,Years,year guide,/guides/1956-year-of-the-chinese-zodiac/,95.1,New article candidate.
162,chinese zodiac metal snake,1900,LOW,2,0.76,element,Snake / 2025,element article,/guides/chinese-zodiac-metal-snake/,94.9,New article candidate.
163,1957 year of the chinese zodiac,5400,LOW,0,,year,Years,year guide,/guides/1957-year-of-the-chinese-zodiac/,94.6,New article candidate.
164,chinese zodiac metal dragon,2400,LOW,1,0.3,element,Dragon / 2024,element article,/guides/chinese-zodiac-metal-dragon/,94.1,New article candidate.
165,1963 chinese zodiac,8100,LOW,0,,year,General,year guide,/guides/1963-chinese-zodiac/,93.8,New article candidate.
166,1964 chinese zodiac,8100,LOW,0,,year,General,year guide,/guides/1964-chinese-zodiac/,93.8,New article candidate.
167,1968 chinese zodiac,8100,LOW,0,,year,General,year guide,/guides/1968-chinese-zodiac/,93.8,New article candidate.
168,1972 chinese zodiac,8100,LOW,0,,year,General,year guide,/guides/1972-chinese-zodiac/,93.8,New article candidate.
169,2012 chinese zodiac,8100,LOW,0,,year,General,year guide,/guides/2012-chinese-zodiac/,93.8,New article candidate.
170,2013 chinese year,8100,LOW,0,,year,Years,year guide,/guides/2013-chinese-year/,93.8,New article candidate.
171,2013 chinese zodiac,8100,LOW,0,,year,General,year guide,/guides/2013-chinese-zodiac/,93.8,New article candidate.
172,2017 chinese zodiac,8100,LOW,0,,year,General,year guide,/guides/2017-chinese-zodiac/,93.8,New article candidate.
173,2018 chinese zodiac,8100,LOW,0,,year,General,year guide,/guides/2018-chinese-zodiac/,93.8,New article candidate.
174,bunny chinese zodiac,8100,LOW,0,,general,General,guide article,/guides/bunny-chinese-zodiac/,93.8,New article candidate.
175,chinese sign 1963,8100,LOW,0,,year,General,year guide,/guides/chinese-sign-1963/,93.8,New article candidate.
176,chinese sign 1964,8100,LOW,0,,year,General,year guide,/guides/chinese-sign-1964/,93.8,New article candidate.
177,chinese sign 1972,8100,LOW,0,,year,General,year guide,/guides/chinese-sign-1972/,93.8,New article candidate.
178,chinese sign 2013,8100,LOW,0,,year,General,year guide,/guides/chinese-sign-2013/,93.8,New article candidate.
179,chinese year 1964,8100,LOW,0,,year,Years,year guide,/guides/chinese-year-1964/,93.8,New article candidate.
180,chinese zodiac 2026,33100,LOW,2,0.62,year,Horse / 2026,supporting article or existing-page expansion,Expand existing /chinese-zodiac/2026/,93.5,Already has a matching page; use for page expansion or supporting paragraph.
181,2026 year of the chinese zodiac,9900,LOW,1,13.67,year,Horse / 2026,supporting article or existing-page expansion,Expand existing /chinese-zodiac/2026/,93.5,Already has a matching page; use for page expansion or supporting paragraph.
182,chinese horoscope love compatibility,9900,LOW,0,0.94,compatibility,Compatibility,supporting article or existing-page expansion,Expand existing /,93.4,Already has a matching page; use for page expansion or supporting paragraph.
183,chinese zodiac love compatibility,9900,LOW,0,0.94,compatibility,Compatibility,supporting article or existing-page expansion,Expand existing /chinese-zodiac-compatibility/,93.4,Already has a matching page; use for page expansion or supporting paragraph.
184,1955 chinese zodiac,5400,LOW,0,0.47,year,General,year guide,/guides/1955-chinese-zodiac/,93.4,New article candidate.
185,horse zodiac meaning,14800,LOW,1,23.58,animal,Horse / 2026,supporting article or existing-page expansion,Expand existing /chinese-zodiac/horse/,92.6,Already has a matching page; use for page expansion or supporting paragraph.
186,rat zodiac,27100,LOW,0,1.26,animal,General,supporting article or existing-page expansion,Expand existing /chinese-zodiac/rat/,92.5,Already has a matching page; use for page expansion or supporting paragraph.
187,1952 year of the chinese zodiac,4400,LOW,0,,year,Years,year guide,/guides/1952-year-of-the-chinese-zodiac/,92.5,New article candidate.
188,1953 year of the chinese zodiac,4400,LOW,0,,year,Years,year guide,/guides/1953-year-of-the-chinese-zodiac/,92.5,New article candidate.
189,1965 chinese zodiac,6600,LOW,0,0.05,year,General,year guide,/guides/1965-chinese-zodiac/,92.1,New article candidate.
190,chinese zodiac sign calculator,12100,LOW,0,0.5,calculator,Calculator / Birthday,supporting article or existing-page expansion,Expand existing /chinese-zodiac-animals/,92,Already has a matching page; use for page expansion or supporting paragraph.
191,chinese birth sign calculator,12100,LOW,0,0.5,calculator,Calculator / Birthday,supporting article or existing-page expansion,Expand existing /chinese-zodiac-calculator/,92,Already has a matching page; use for page expansion or supporting paragraph.
192,chinese zodiac chart calculator,12100,LOW,0,0.5,calculator,Calculator / Birthday,supporting article or existing-page expansion,Expand existing /chinese-zodiac-calculator/,92,Already has a matching page; use for page expansion or supporting paragraph.
193,star sign chinese calculator,12100,LOW,0,0.5,calculator,Calculator / Birthday,supporting article or existing-page expansion,Expand existing /chinese-zodiac-calculator/,92,Already has a matching page; use for page expansion or supporting paragraph.
194,chinese zodiac and astrology,12100,LOW,27,0.13,general,General,guide article,/guides/chinese-zodiac-and-astrology/,91.9,New article candidate.
195,1959 chinese zodiac,6600,LOW,0,0.03,year,General,year guide,/guides/1959-chinese-zodiac/,91.9,New article candidate.
196,chinese sign 1959,6600,LOW,0,0.03,year,General,year guide,/guides/chinese-sign-1959/,91.9,New article candidate.
197,chinese zodiac 2023,6600,LOW,0,,year,General,year guide,/guides/chinese-zodiac-2023/,91.7,New article candidate.
198,2023 chinese zodiac,6600,LOW,0,,year,General,year guide,/guides/2023-chinese-zodiac/,91.7,New article candidate.
